Method Name,Method Key,DOI,Description,U1,U3,Output Data  
MS2CANet (Multiscale Spatial–Spectral Cross-Modal Attention Network),9dda7dc5-d798-4b35-b73c-6f6455b87376,10.1109/LGRS.2024.3350633,"MS2CANet is a deep learning framework that fuses hyperspectral image (HSI) and LiDAR data for land cover classification. It employs a multiscale pyramid convolution to extract features at multiple spatial scales, an Effective Feature Recalibration (EFR) module to enhance informative features and suppress redundant ones at each scale, and a Spatial–Spectral Cross-Modal Attention (S2CA) module that uses each modality's features to guide and enhance the other modality's representation, enabling bidirectional cross-modal information flow.",The method assumes that HSI spectral features and LiDAR elevation features are complementary and that attention-based cross-modal interaction will consistently improve classification performance. It is unclear how the model performs on datasets outside urban or vegetated environments. The fixed multiscale pyramid convolution structure may not adapt well to datasets with very different spatial resolutions.,"The model achieves state-of-the-art classification accuracy on three public benchmark datasets (Houston 2013, MUUFL Gulfport, Trento). Performance is reported using Overall Accuracy (OA), Average Accuracy (AA), and Kappa coefficient. While results outperform prior methods, the paper does not provide confidence intervals or statistical significance tests. The model's computational efficiency compared to transformer-based alternatives is not deeply analyzed. Generalizability to datasets with different numbers of HSI bands or LiDAR channel configurations remains uncertain.",Land cover / scene classification map with per-pixel class labels
Early Multi-Omics Integration,39ea00b0-a6a7-5fcc-ab06-6004962e86e3,10.1109/RBME.2023.3324264,"Early integration concatenates all omics modalities (mRNA, miRNA, DNA methylation, CNV, protein expression) into a single feature matrix after basic per-modality preprocessing and scaling. Dimensionality reduction (PCA, autoencoders) is then applied collectively across all modalities. The resulting low-dimensional embedding is used directly for downstream tasks such as cancer survival prediction or subtype classification. Example implementations reviewed include Zhang et al. (neuroblastoma) and Chai et al., which combine up to 350k multi-omics features into a joint autoencoder.","Assumes that combining all omics data before dimensionality reduction preserves complementary inter-modality signals. Assumes feature distributions across modalities can be made comparable through scaling or normalization alone. The choice of dimensionality reduction method and target dimensionality (e.g., 100 latent features) is heuristic and may not generalize across cancer types or omics combinations.","Studies using early integration report C-index and AUC metrics on TCGA cancer cohorts but are typically evaluated on single cancer types, limiting cross-cancer generalizability. No standardized benchmarks or significance tests are used across reviewed papers, making direct comparisons between methods difficult. Performance benefits over single-modality baselines are inconsistently reported.",Integrated multi-omics feature matrix; downstream cancer subtype labels or survival risk scores
Mixed Multi-Omics Integration (ConcatAE / DeepProg),4c5f8eed-93db-5531-a1dd-dd9e0068638f,10.1109/RBME.2023.3324264,"Mixed integration first reduces each omics modality independently using autoencoders or PCA/UVFS, then combines the resulting low-dimensional embeddings via concatenation, averaging, or multiple kernel learning (MKL). ConcatAE (Tong et al.) concatenates autoencoder latent spaces from four omics modalities (mRNA, miRNA, DNA methylation, CNV) after per-modality PCA/UVFS. DeepProg (Poirion et al.) similarly encodes each modality separately, then uses Cox regression on each latent space before concatenation and sub-phenotyping. SALMON adds hierarchical gene co-expression integration before combining mRNA and miRNA embeddings.","Assumes autoencoder-derived latent representations from each modality capture biologically meaningful variation. The optimal number of latent features (e.g., 100 from PCA, 1000 from UVFS) is chosen heuristically. Concatenation as the combination strategy assumes modality embeddings are commensurable, which may not hold for highly heterogeneous data scales.","ConcatAE outperformed alternative integration strategies on TCGA breast cancer survival prediction (C-index reported). DeepProg demonstrated generalizability across 15 cancer types in TCGA. However, all evaluations rely on TCGA data with cross-validation only; independent prospective validation is absent. Performance metrics lack confidence intervals and statistical significance tests across methods.","Multi-omics latent feature vectors for survival prediction, cancer sub-phenotyping, or subtype classification"
MOGONET – Multi-Omics Graph Convolutional Networks (Intermediate Integration),8063775a-2eb3-5eca-aace-cad6de010c86,10.1109/RBME.2023.3324264,"MOGONET is an end-to-end intermediate integration method that trains separate omics-specific Graph Convolutional Networks (GCNs) for each modality (mRNA, miRNA, DNA methylation). Patient similarity graphs are constructed from each omics feature space using k-NN. Each GCN produces modality-specific label predictions, and these are combined via a View Correlation Discovery Network (VCDN) that learns cross-modality label correlations to produce final patient classification labels. The method integrates information within and between omics modalities simultaneously within a single neural network.","Assumes that patient similarity can be faithfully represented by k-NN graphs derived from omics features, which is sensitive to noise and the choice of k. The VCDN relies on labeled training data to learn inter-modality label correlations, making the method unsuitable for unsupervised settings. Graph construction from high-dimensional omics data may encode batch effects or technical variation as biological similarity.",MOGONET outperforms baseline multi-omics methods on TCGA across multiple cancer types for subtype classification and biomarker identification. Cross-validation results are reported but may overestimate real-world performance due to data leakage risks in graph-based models. Computational scalability to very large patient cohorts or high numbers of omics modalities is not analyzed.,Per-patient cancer subtype classification labels and modality-specific biomarker importance scores
Low-Dimensional Radiogenomics Integration Pipeline,a02d9e76-0dcb-519e-a231-f3eb3c8e97d5,10.1109/RBME.2023.3324264,"A two-stage pipeline for integrating radiology images with genomic data. In Stage 1, radiographic features are extracted and dimensionality-reduced independently of genomics, using either CNN-derived deep features (e.g., ResNet-34) or statistical tests guided by clinical assessments (e.g., LASSO on risk scores). Tools such as PyRadiomics or LIFEx extract histogram, shape, and texture features. In Stage 2, the reduced radiographic feature set is classified against genomic biomarkers (e.g., IDH mutation, EGFR status, DEGs) using SVM, logistic regression, or random forests. Clinical metrics such as risk scores or therapy responses may guide Stage 1 feature selection.","The unguided variant (CNN-based reduction) assumes pre-trained image features are relevant to the genomic targets, which may not hold for all cancer types or imaging modalities. The clinically guided variant assumes clinical assessment scores accurately proxy for genomic biology. Both variants risk discarding genomically informative radiomic features before the association step.","Reviewed studies report AUC values of 0.69–0.80 for genotype prediction across GBM, breast, and esophageal cancers using TCGA+TCIA and ADNI data. Sample sizes are typically small (<500 subjects) and lack independent validation cohorts. Reported performance varies substantially across cancer types, imaging modalities, and genomic targets, preventing robust conclusions about method generalizability.","Predicted genomic biomarker labels (e.g., IDH mutation status, gene expression subtype) derived from radiographic features"
High-Dimensional Radiogenomics Integration Pipeline,f8a798f0-4bed-5b79-9a9b-d074acbc56f5,10.1109/RBME.2023.3324264,"A two-stage pipeline where genomic data directly guides radiographic feature selection in Stage 1. After feature extraction (PyRadiomics, CNN), features less predictive of genomic biomarkers are removed using linear methods (LASSO, Pearson correlation) or non-linear models (random forests, gradient boosting). Pre-screening steps (e.g., removing correlated features via Pearson > 0.9, Mann-Whitney U tests) precede ranking. The resulting small, genomically informative feature set is then used in Stage 2 to predict genomic biomarkers or clinically relevant endpoints (survival, therapy response). Linear and non-linear approaches can be combined (e.g., linear pre-screening followed by random forest ranking).",Using genomic data twice (for feature selection and as prediction target) risks overfitting to the specific genetic targets evaluated. Feature importance from random forests is sensitive to correlated features and may not generalize to new cohorts. The assumption that radiomic features predictive of one genomic target transfer to other targets is not validated.,"Reviewed studies report AUC 0.60–0.80 for predicting EGFR, IDH, Ki-67, and PD-L1 status from CT/MRI images. Final feature sets are typically very small (15–50 features) but selection criteria differ across studies. No standardized evaluation protocol exists; some studies use leave-one-out CV on <100 patients, making performance estimates unreliable. Independent external validation is rarely performed.",Compact radiomic feature set with predicted genomic biomarker classifications or clinical endpoint predictions
Phenotype-First EHR-Omics Integration,02daa2cc-d32e-556f-bafb-fde4939bde45,10.1109/RBME.2023.3324264,"A two-phase integration strategy that begins by extracting phenotypic patient cohorts from EHR data using validated phenotyping algorithms (e.g., PheKB), then applies genomic analytics (GWAS, PheWAS) to the identified cohort. EHR-linked biobanks (UK Biobank, eMERGE Network) provide the infrastructure linking biological specimens to longitudinal EHR data. GWAS meta-analyses identify significant loci, followed by PheWAS to associate genetic variants with additional diagnoses across the phenome. Applications include cardiac arrhythmia risk (Ritchie et al.), lipid-disease associations (Veturi et al.), and COVID-19 immune profiling with multi-omics (Su et al.).","EHR-derived phenotype definitions have variable sensitivity/specificity across EHR systems and institutions, introducing misclassification bias. Population ascertainment differs across biobanks (e.g., UK Biobank healthy volunteer bias), limiting generalizability. ICD code-based phenotyping may group heterogeneous disease presentations together.","Studies using UK Biobank (500k participants) and eMERGE (multi-site) identify novel genetic loci and gene-disease associations, including 67 novel lipid-associated genes. However, replication in independent cohorts is inconsistent. Association effect sizes are typically small, and phenome-wide analyses require correction for multiple testing, which varies across studies. EHR phenotyping accuracy is rarely validated against gold-standard clinical records.",Genetic variants or polygenic risk scores associated with EHR-derived phenotypes; novel gene-disease association tables
Genotype-First EHR-Omics Integration,1d195e89-7b87-5940-a014-380ba04bc757,10.1109/RBME.2023.3324264,"Starts with a gene or genetic variant of interest and conducts a phenome-wide association study (PheWAS) across EHR-derived phenotypes to discover novel clinical associations. Rare variant analysis may include gene burden scores (cumulative effect of multiple rare variants). Applications reviewed include rare LMNA variant association with EHR phenotypes (Park et al.), Mendelian ciliopathy gene associations with common disease (Drivas et al.), and COVID-19 severity gene associations in the Million Veteran Program (Verma et al.). UK Biobank's population-based design supports disease-agnostic genotype-first queries.","Assumes identified genetic variants have consistent phenotypic effects across diverse ancestries in the biobank. Population stratification and admixture must be controlled via principal components, but residual confounding may persist. Rare variant burden tests assume variants within a gene have consistent directional effects, which is often biologically uncertain.","Genotype-first studies successfully identify novel pleiotropic gene-phenotype ontologies in biobank data. PheWAS results require correction for multiple testing (e.g., Bonferroni across hundreds of phenotypes), and thresholds vary across studies. Most reviewed results rely on UK Biobank with predominantly white British participants, and replication in diverse ancestral populations is limited.",PheWAS association tables linking genetic variants to EHR-derived phenotypes; novel pleiotropic gene-disease ontologies
CAGTDet – Cascade Alignment-Guided Transformer Detector,0d1aa3b3-5c1c-40ab-87fd-966963a53f97,10.1016/j.inffus.2024.102246,"CAGTDet is an RGB-infrared two-stage object detector built on a novel multi-modal RoI head called CAGT. It first applies a Translation-Scale-Rotation Alignment (TSRA) module that uses a Modality-Selection (MS) strategy to pick high-quality reference bounding boxes, then runs a cascade Modality-Calibration (MC) process that predicts position, scale, and angle deviations between RGB and IR proposals in a coarse-to-fine manner. After alignment, a Complementary Fusion Transformer (CFT) module uses cross-modal attention to extract complementary features from both modalities. An object-region-aware loss guides CFT to minimize intra-class distance and maximize inter-class distance. The fused RoI features are passed to a standard detection head to produce final oriented bounding-box predictions.","The method assumes that a cascade coarse-to-fine alignment can fully resolve weak misalignment between RGB and IR image pairs. It relies on the availability of separate per-modality bounding-box annotations, which is expensive to collect. It is unclear how the model handles extreme misalignment beyond translation, scale, and rotation (e.g., perspective distortion). The CFT module's cross-modal attention may not generalise well when one modality is heavily degraded (e.g., saturated IR in high-heat environments).","The model achieves state-of-the-art mAP on the DroneVehicle oriented detection benchmark and competitive miss-rate on the KAIST pedestrian dataset. However, performance degrades in occlusion-heavy and low-resolution scenes as acknowledged by the authors. The cascade TSRA adds inference overhead compared to single-stage alignment. Generalisation to non-aerial RGB-IR pairs (e.g., ground-level cameras) has not been extensively tested. Ablation studies confirm the individual contributions of TSRA and CFT, but their combined benefit over each alone is relatively small.",Oriented bounding-box detections with class labels for RGB-IR image pairs
MVMM (Multiview Multimodal 3-D Object Detector),b50f613e-7b1a-48b9-b3da-5a3c2709378e,10.1109/TII.2023.3263274,"MVMM is a single-stage multiview multimodal 3-D object detector that fuses camera images and LiDAR point clouds for autonomous driving. It employs data-level fusion via point cloud coloring, where each LiDAR point is colored using its corresponding RGB pixel from the camera image. An encoder-decoder backbone extracts features from the colored points in the range view. Colored points are then concatenated with range view features, voxelized, and passed through a point view bridge for downsampling. The resulting feature map is processed by a bird's eye view (BEV) backbone and an anchor-based detection head to generate final 3-D bounding box predictions.","The method assumes that data-level fusion via point cloud coloring adequately captures semantic information from the camera, but this may fail under poor lighting, adverse weather, or camera occlusion. It assumes well-calibrated camera-LiDAR extrinsics; calibration errors would distort color assignments. The multiview framework assumes range view and BEV representations are complementary, but the interaction between these views is not deeply analyzed. Generalizability beyond the KITTI dataset (urban driving, Germany) is uncertain.","MVMM achieves competitive 3-D detection performance on the KITTI benchmark at 27 FPS on a single NVIDIA GTX 1080 Ti GPU. It particularly excels in difficult scenes involving heavy occlusion and truncation, attributed to the semantic richness of fused multimodal information. Performance is evaluated using Average Precision (AP) on car, pedestrian, and cyclist categories at easy, moderate, and hard difficulty levels. No confidence intervals or statistical significance tests are reported. Comparison is made against contemporaneous single-stage and two-stage detectors on KITTI.",3-D bounding box predictions with class labels and confidence scores in physical (3-D) space
FPFCT (Flexible Parallel Fusion of CNN and Transformer),8a5e1837-1693-4021-9ef3-85f1797e69e8,10.1016/j.displa.2023.102633,"FPFCT is a lightweight single-image super-resolution model that fuses CNN and Transformer streams in parallel within its core FPF (Flexible Parallel Fusion) block. Rather than connecting CNN and Transformer sequentially, FPFCT runs them in parallel to allow each to compensate for the other's sampling imperfections — CNN captures local spatial detail while Transformer captures long-range global context. The fused features are then passed through a Dynamic Edge Attention (DEA) network that dynamically strengthens contour and edge features of multi-scale targets to minimize information loss across the depth of the network. This parallel fusion approach reduces model parameters by >37.5% versus SwinIR and cuts single-image inference time by >48.9%, making it suitable as a preprocessing tool for industrial inspection pipelines.","The method assumes that parallel fusion of CNN and Transformer inherently captures more complementary information than serial or single-path architectures, without formal justification for why parallel outperforms other fusion topologies in all cases. The fixed multi-scale pyramid and DEA design may not adapt optimally to industrial imaging domains beyond welding (e.g., microscopy, X-ray, thermal). Generalizability of performance gains to other super-resolution scale factors (beyond x2, x3, x4) or to non-industrial natural images is assumed but not exhaustively validated.","FPFCT achieves competitive PSNR/SSIM metrics on standard benchmarks (DIV2K, Set5, Set14) and on the self-established WCI110 industrial dataset, but reported metrics do not reach ideal values and there remains residual variation in high-frequency texture reconstruction. The paper demonstrates defect localization improvements but does not provide statistical significance tests or confidence intervals. Computational overhead of DEA modules relative to total inference cost is not fully analyzed. Generalization to cross-domain industrial imagery (e.g., hyperspectral, infrared, X-ray) has not been tested.",Super-resolved (high-resolution) industrial component image